Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-03-03,MLT,Malta,Malta,35.946151,14.384612,23226,321,19905,3000,,,True,True,MT001
2021-03-03,MDA,Moldova,Moldova,46.979527,28.377195,189397,4026,168143,17228,,,False,False,MD
2021-03-03,MCO,Monaco,Monaco,43.738348,7.424451,1981,26,1754,201,,,False,False,MC
2021-03-03,MNE,Montenegro,Montenegro,42.710152,19.410069,77493,1031,,76462,484,,False,True,ME
2021-03-03,NLD,Netherlands,Drenthe,52.863149,6.623756,22199,300,,21899,386,,True,True,NL13
2021-03-03,NLD,Netherlands,Flevoland,52.436257,5.519078,26049,216,,25833,536,,True,True,NL23
2021-03-03,NLD,Netherlands,Friesland,53.089388,5.871457,26785,404,,26381,367,,True,True,NL12
2021-03-03,NLD,Netherlands,Gelderland,52.061726,5.945178,123397,1823,,121574,2560,,True,True,NL22
2021-03-03,NLD,Netherlands,Groningen,53.291466,6.700488,25311,200,,25111,301,,True,True,NL11
2021-03-03,NLD,Netherlands,Limburg,51.207579,5.936318,72436,1439,,70997,2239,,True,True,NL42
2021-03-03,NLD,Netherlands,North Brabant,51.527534,5.590194,173604,2888,,170716,4322,,True,True,NL41
2021-03-03,NLD,Netherlands,North Holland,52.551824,4.876581,189889,2272,,187617,3766,,True,True,NL32
2020-07-17,NLD,Netherlands,NOT SPECIFIED,,,0,6138,0,-6138,11894,0,True,True,
2021-03-03,NLD,Netherlands,Overijssel,52.445136,6.4476,76624,1039,,75585,1148,,True,True,NL21
2021-03-03,NLD,Netherlands,South Holland,51.968696,4.541274,260751,3789,,256962,6280,,True,True,NL33
2021-03-03,NLD,Netherlands,Utrecht,52.078728,5.214048,87538,1146,,86392,2025,,True,True,NL31
2021-03-03,NLD,Netherlands,Zeeland,51.312779,3.786651,16847,181,,16666,466,,True,True,NL34
2021-03-03,MKD,North Macedonia,North Macedonia,41.611,21.751417,104548,3156,92189,9203,,,False,True,MK
2021-03-03,NOR,Norway,Agder,58.699661,7.618403,2167,,,2167,,,False,True,NO04
2021-03-03,NOR,Norway,Innlandet,61.43354,10.427144,3465,,,3465,,,False,True,NO02
2021-03-03,NOR,Norway,Møre og Romsdal,62.543569,8.540539,1291,,,1291,,,False,True,NO053
2021-03-03,NOR,Norway,Nordland,66.679716,14.635752,1149,,,1149,,,False,True,NO071
2021-03-03,NOR,Norway,NOT SPECIFIED,,,,632,,-632,2755,513,False,True,
2021-03-03,NOR,Norway,Oslo,59.979683,10.738335,20139,,,20139,,,False,True,NO011
2020-03-31,NOR,Norway,Outside mainland Norway,,,1,0,0,1,0,0,False,True,
2021-03-03,NOR,Norway,Rogaland,58.58709,6.206792,3593,,,3593,,,False,True,NO043
2021-03-03,NOR,Norway,Troms og Finnmark,70.239335,26.12935,1310,,,1310,,,False,True,NO072
2021-03-03,NOR,Norway,Trøndelag,63.421183,11.529951,3587,,,3587,,,False,True,NO06
2021-03-03,NOR,Norway,Vestfold og Telemark,59.493612,8.722188,3630,,,3630,,,False,True,NO033
2021-03-03,NOR,Norway,Vestland,60.952729,6.513828,6838,,,6838,,,False,True,NO05
2021-03-03,NOR,Norway,Viken,60.020274,9.849655,23784,,,23784,,,False,True,NO012
2021-03-03,POL,Poland,NOT SPECIFIED,,,1735406,44360,1441479,249567,,,True,True,
2021-03-03,PRT,Portugal,Açores,37.775525,-25.494927,3793,28,,3765,,,True,True,PT20
2021-03-03,PRT,Portugal,Alentejo,38.485499,-8.006668,28532,949,,27583,,,True,True,PT18
2021-03-03,PRT,Portugal,Algarve,37.218389,-8.198488,20158,344,,19814,,,True,True,PT15
2021-03-03,PRT,Portugal,Centro,40.111812,-8.012768,115175,2926,,112249,,,True,True,PT16
2020-03-27,PRT,Portugal,Estrageiro,,,21,0,0,21,0,0,True,True,
2021-03-03,PRT,Portugal,Lisbon,38.623843,-8.88436,305453,6889,,298564,,,True,True,PT17
2021-03-03,PRT,Portugal,Madeira,32.736252,-16.972663,6754,61,,6693,,,True,True,PT30
2021-03-03,PRT,Portugal,Norte,41.457206,-7.678153,326761,5233,,321528,,,True,True,PT11
2021-03-03,PRT,Portugal,NOT SPECIFIED,,,,,725399,-725399,1827,415,True,True,
2021-03-03,ROU,Romania,Alba,46.172367,23.487279,15735,,,15735,,,True,True,RO121
2021-03-03,ROU,Romania,Arad,46.273235,21.758454,17534,,,17534,,,True,True,RO421
2021-03-03,ROU,Romania,Argeș,45.072253,24.814273,21291,,,21291,,,True,True,RO311
