Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-02-29,ESP,Spain,Canarias,28.291062,-16.55631,6,,,,,,True,True
2020-02-29,ESP,Spain,Cantabria,43.196326,-4.034401,1,,,,,,True,True
2020-02-29,ESP,Spain,Castilla y León,41.751205,-4.788185,2,,,,,,True,True
2020-02-29,ESP,Spain,Cataluña,41.798,1.528534,6,,,,,,True,True
2020-02-29,ESP,Spain,Comunidad de Madrid,40.494962,-3.716057,10,,,,,,True,True
2020-02-29,ESP,Spain,Illes Balears,39.613452,2.956607,1,,,,,,True,True
2020-02-29,ESP,Spain,País Vasco,43.032149,-2.62166,3,,,,,,True,True
2020-02-29,ESP,Spain,Principado de Asturias,43.292312,-5.992988,1,,,,,,True,True
2020-02-29,CHE,Switzerland,Aargau,47.410914,8.159107,1,0,0,1,0,0,False,False
2020-02-29,CHE,Switzerland,Basel Country,47.441812,7.7644,2,0,0,2,0,0,False,False
2020-02-29,CHE,Switzerland,Bern,46.825006,7.626925,1,0,0,1,0,0,False,False
2020-02-29,CHE,Switzerland,Geneva,46.217114,6.131255,5,0,0,5,3,0,False,False
2020-02-29,CHE,Switzerland,Ticino,46.297963,8.808447,1,0,0,1,0,0,False,False
2020-02-29,CHE,Switzerland,Valais,46.211633,7.611267,1,0,0,1,3,0,False,False
2020-02-29,CHE,Switzerland,Zurich,47.417407,8.655988,2,0,0,2,0,0,False,False
2020-02-29,GBR,United Kingdom,East of England,52.248898,0.548756,1,,,,,,False,True
2020-02-29,GBR,United Kingdom,England,,,6,,,,,,False,True
2020-02-29,GBR,United Kingdom,London,51.497136,-0.100571,3,,,,,,False,True
2020-02-29,GBR,United Kingdom,Midlands,52.718351,-1.45667,1,,,,,,False,True
2020-02-29,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,3,,,,,,False,True
2020-02-29,GBR,United Kingdom,Northern Ireland,54.787715,-6.492314,1,,,,,,False,True
