Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-02-03,AUS,OC,Australia,-26.853388,133.275155,11,,,11,,,False,False
2020-02-03,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-03,CAN,NA,Canada,62.393303,-96.818145,4,,,4,,,False,False
2020-02-03,CHN,AS,China,34.668138,104.165802,17211,361,,16850,,,False,False
2020-02-03,FRA,EU,France,46.232193,2.209667,6,0,0,6,6,0,True,True
2020-02-03,IND,AS,India,21.125681,82.794998,2,,,2,,,False,False
2020-02-03,JPN,AS,Japan,34.886306,134.379711,20,,,20,,,False,False
2020-02-03,MYS,AS,Malaysia,4.109319,109.455475,8,,,8,,,False,False
2020-02-03,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-03,PHL,AS,Philippines,12.881958,121.766541,2,1,,1,,,False,False
2020-02-03,SGP,AS,Singapore,1.364917,103.822872,18,,,18,,,False,False
2020-02-03,KOR,AS,South Korea,35.901696,127.735889,15,,,15,,,False,False
2020-02-03,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-03,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-03,TWN,AS,Taiwan,21.901806,121.471,10,,,10,,,False,False
2020-02-03,THA,AS,Thailand,13.036597,101.492515,19,,,19,,,False,False
2020-02-03,ARE,AS,United Arab Emirates,24.358745,53.982494,5,,,5,,,False,False
2020-02-03,USA,NA,United States of America,36.966428,-95.844032,11,,,11,,,False,False
2020-02-03,VNM,AS,Vietnam,15.974222,105.806431,8,,,8,,,False,False
2020-02-04,AUS,OC,Australia,-26.853388,133.275155,11,,,11,,,False,False
2020-02-04,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-04,CAN,NA,Canada,62.393303,-96.818145,4,,,4,,,False,False
2020-02-04,CHN,AS,China,34.668138,104.165802,20448,426,,20022,,,False,False
2020-02-04,IND,AS,India,21.125681,82.794998,3,,,3,,,False,False
2020-02-04,JPN,AS,Japan,34.886306,134.379711,20,,,20,,,False,False
2020-02-04,MYS,AS,Malaysia,4.109319,109.455475,8,,,8,,,False,False
2020-02-04,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-04,PHL,AS,Philippines,12.881958,121.766541,2,1,,1,,,False,False
2020-02-04,SGP,AS,Singapore,1.364917,103.822872,18,,,18,,,False,False
2020-02-04,KOR,AS,South Korea,35.901696,127.735889,16,,,16,,,False,False
2020-02-04,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-04,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-04,TWN,AS,Taiwan,21.901806,121.471,10,,,10,,,False,False
2020-02-04,THA,AS,Thailand,13.036597,101.492515,19,,,19,,,False,False
2020-02-04,ARE,AS,United Arab Emirates,24.358745,53.982494,5,,,5,,,False,False
2020-02-04,USA,NA,United States of America,36.966428,-95.844032,11,,,11,,,False,False
2020-02-04,VNM,AS,Vietnam,15.974222,105.806431,9,,,9,,,False,False
2020-02-05,AUS,OC,Australia,-26.853388,133.275155,12,,,12,,,False,False
